Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,3.7726482051612966,3.7826552295781704,3.498706217139535,3.693842887878418,5331200,0.0,0.0
2000-01-04,3.612848704163562,4.022824345096465,3.567504979586433,3.722613573074341,5056000,0.0,0.0
2000-01-05,3.5074620380322354,3.750132357623024,3.412395009503455,3.692591667175293,6054400,0.0,0.0
2000-01-06,3.5856417194008827,3.652563691139221,3.3023178577423096,3.3023178577423096,4704000,0.0,0.0
2000-01-07,3.167224303627488,3.532480478286743,3.012115082051869,3.532480478286743,7884800,0.0,0.0
2000-01-10,3.722611371365339,3.7451268605602013,3.5524920345018693,3.5825130939483643,3532800,0.0,0.0
2000-01-11,3.4849456137203223,3.485571358076543,3.297939668246476,3.3723669052124023,8512000,0.0,0.0
2000-01-12,3.4424155716449474,3.552492813761501,3.142204911327074,3.312324285507202,3968000,0.0,0.0
2000-01-13,3.422400348591355,3.422400348591355,3.122189791697376,3.182231903076172,2560000,0.0,0.0
2000-01-14,3.2666682106893767,3.374868862689458,2.9745878642515486,2.983344316482544,7091200,0.0,0.0
2000-01-18,2.811973942211879,3.102177658667909,2.661868571631173,3.084665060043335,10982400,0.0,0.0
2000-01-19,3.0621497291948256,3.1622199817828918,2.9895991014586527,3.0396342277526855,2316800,0.0,0.0
2000-01-20,3.034629382822372,3.1321981612877314,2.929556253367685,2.9595773220062256,4780800,0.0,0.0
2000-01-21,2.9470678852873835,3.132197461826385,2.902035986995692,3.0371310710906982,7692800,0.0,0.0
2000-01-24,3.072154698881713,3.1984936136312334,3.052140661755448,3.182231903076172,6758400,0.0,0.0
2000-01-25,3.099675812981294,3.192240474323114,3.0796617661203336,3.1321983337402344,2048000,0.0,0.0
2000-01-26,3.197244413113367,3.257286555981409,3.1384531482217426,3.2422757148742676,3366400,0.0,0.0
2000-01-27,3.202247818031653,3.50245855097212,3.162219720306257,3.488699197769165,6528000,0.0,0.0
2000-01-28,3.492450571624485,3.5637506012027784,3.361108411874997,3.382373332977295,4192000,0.0,0.0
2000-01-31,3.3523522546173012,3.3973841574574495,3.0684033205304533,3.2510311603546143,2163200,0.0,0.0
2000-02-01,3.281051592756283,3.2816767260991697,3.1872360882123507,3.2122533321380615,2144000,0.0,0.0
2000-02-02,3.272296779128025,3.3973848818854346,3.2322686839704957,3.3573567867279053,2912000,0.0,0.0
2000-02-03,3.412395351954869,3.5024585723876953,3.2860563623464465,3.5024585723876953,3072000,0.0,0.0
2000-02-04,3.567504070458668,3.9027390417299768,3.5224721607409024,3.802668809890747,5427200,0.0,0.0
2000-02-07,3.827686495908043,4.1153877883367125,3.7526335201156327,4.1010026931762695,3852800,0.0,0.0
2000-02-08,4.262365656193571,4.634502094693301,3.962780738458401,4.102879047393799,6668800,0.0,0.0
2000-02-09,3.9934267518128843,4.485646440693743,3.9934267518128843,4.463130950927734,4153600,0.0,0.0
2000-02-10,4.418102749777219,5.288714408874512,4.343049741481208,5.288714408874512,11756800,0.0,0.0
2000-02-11,5.348754023719112,6.8147821781317495,5.348754023719112,6.7053303718566895,23667200,0.0,0.0
2000-02-14,6.21436028717631,6.34445156532976,5.203651126137974,5.433812618255615,30592000,0.0,0.0
2000-02-15,5.388782673291445,5.39128381834339,4.784608029040248,4.943469524383545,8041600,0.0,2.0
2000-02-16,5.104833021759987,6.1042845249176025,5.103582143783569,5.804073810577393,12278400,0.0,0.0
2000-02-17,6.455781977931408,6.604636474225506,5.836597308472767,5.966688632965088,11251200,0.0,0.0
2000-02-18,6.094276262224738,6.184339458218207,5.602681317427053,5.864114761352539,5030400,0.0,0.0
2000-02-22,5.6439619064331055,5.944172646136994,5.343751166729216,5.6439619064331055,5139200,0.0,0.0
2000-02-23,5.704003303417067,6.002963125679496,5.410046992824301,5.686491012573242,5334400,0.0,0.0
2000-02-24,6.01422187607355,6.084271049338966,5.418804514097836,5.548895835876465,8284800,0.0,0.0
2000-02-25,5.410046539791337,5.543890465746869,5.283707880711818,5.463834285736084,4835200,0.0,0.0
2000-02-28,5.303721677011518,5.5026112398994504,5.26369358888313,5.363763809204102,2112000,0.0,0.0
2000-02-29,5.534509896533106,5.618944775143886,5.343750995138305,5.408797264099121,3084800,0.0,0.0
2000-03-01,5.744030942343992,5.814080100177455,5.58391858158179,5.663974761962891,7129600,0.0,0.0
2000-03-02,5.984201934554266,6.104286254311207,5.709009312558376,6.049248218536377,7456000,0.0,0.0
2000-03-03,6.2643963379765575,6.679688399277574,6.2093583227841265,6.57461404800415,5286400,0.0,0.0
2000-03-06,6.704704796058545,7.305126121078713,6.6146415973055195,6.904845237731934,4041600,0.0,0.0
2000-03-07,7.505265456527027,7.505265456527027,6.597128336287257,6.7047038078308105,9091200,0.0,0.0
2000-03-08,6.84480476659887,6.924860962699441,6.304425442920012,6.804776668548584,5206400,0.0,0.0
2000-03-09,6.704706423422869,7.003666280735941,6.594629153784584,6.804776668548584,2601600,0.0,0.0
2000-03-10,6.804776191711426,6.884832382202148,6.406996995210648,6.604635715484619,1161600,0.0,0.0
2000-03-13,6.3044252540126,6.384481447714347,5.706505557302674,5.944172382354736,7977600,0.0,0.0
2000-03-14,5.641460593436202,5.964187163969802,5.606436004386043,5.666478157043457,2710400,0.0,0.0
2000-03-15,5.714010343232562,5.784059506809844,5.363764525346153,5.3837785720825195,2848000,0.0,0.0
2000-03-16,5.203653105501998,5.383779559153991,5.003512601444229,5.143610954284668,4393600,0.0,0.0
2000-03-17,5.2837087375026766,5.999211573153112,5.211157812603256,5.841287612915039,5606400,0.0,0.0
2000-03-20,5.962933290843388,6.144310535897362,5.735273576361849,5.974191188812256,4451200,0.0,0.0
2000-03-21,6.004214537771125,6.056125975962271,5.263694744779353,5.704003810882568,5952000,0.0,0.0
2000-03-22,6.0042145276310475,6.144312866609105,5.73402487388765,5.944172382354736,2953600,0.0,0.0
2000-03-23,5.844102665294301,5.901643059687181,5.493856786381115,5.50386381149292,4624000,0.0,0.0
2000-03-24,5.5438908667077,5.591424227026945,5.213659100279263,5.338747501373291,14224000,0.0,0.0
2000-03-27,5.343750591166535,5.343750591166535,5.104832903218781,5.133603096008301,6044800,0.0,0.0
2000-03-28,5.111713668738152,5.5739134880009615,5.053548135440728,5.4238080978393555,3315200,0.0,0.0
2000-03-29,5.383778297424317,5.563904708862305,4.9985082227942765,5.003511428833008,5276800,0.0,0.0
2000-03-30,4.643257312175939,5.0635521550884155,4.41559730020833,4.463130950927734,5670400,0.0,0.0
