Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-12,27.735535288155237,28.648714144368704,27.735535288155237,28.433849334716797,212976,0.0,0.0
2002-08-13,28.46967030640507,28.926259904919984,27.8429794506037,28.048891067504883,153576,0.0,0.0
2002-08-14,28.111580099589617,28.111580099589617,25.58690843727317,26.115121841430664,822776,0.0,0.0
2002-08-15,26.115121841430664,26.115121841430664,26.115121841430664,26.115121841430664,0,0.0,0.0
2002-08-16,25.98081610201541,27.216291394839992,25.604800456987622,26.05243682861328,811856,0.0,0.0
2002-08-19,26.267295267520606,26.267295267520606,25.1661111575482,25.407833099365234,205880,0.0,0.0
2002-08-20,25.58690843727317,27.73556424106346,25.416807065904536,26.115121841430664,3773624,0.0,0.0
2002-08-21,27.556491768717297,28.075751558098762,26.159868585238737,27.395343780517578,3011064,0.0,0.0
2002-08-22,28.299560051690484,29.77675945642564,28.15631592661861,28.57709503173828,6732480,0.0,0.0
2002-08-23,28.827779615736432,31.245015794695696,28.478623825206714,30.2960262298584,4841672,0.0,0.0
2002-08-26,30.779480359473798,30.976441484899137,29.94687767832012,30.188602447509766,2576912,0.0,0.0
2002-08-27,30.439260086069226,31.692641383730898,29.18587878840755,29.436553955078125,3694224,0.0,0.0
2002-08-28,29.34703189454368,29.794668151215514,28.854632012204657,29.46341896057129,1674960,0.0,0.0
2002-08-29,29.28436445790255,29.99162919701308,29.185883935003773,29.46341896057129,1236544,0.0,0.0
2002-08-30,29.552945662180836,32.31933713052318,29.543992390782964,31.549402236938477,3762384,0.0,0.0
2002-09-02,32.050762455115155,32.9281286026444,31.54940919988897,31.871707916259766,2389568,0.0,0.0
2002-09-03,32.050763245285964,32.18505415273828,30.081163269318672,30.376602172851562,986784,0.0,0.0
2002-09-04,29.991647249157754,31.33455682747825,29.64249130522573,31.03911781311035,1449856,0.0,0.0
2002-09-05,31.988095726809377,32.131339919788175,30.439274891375224,30.85110092163086,1061360,0.0,0.0
2002-09-06,30.97643112546588,30.97643112546588,29.37389376107077,29.705142974853516,907472,0.0,0.0
2002-09-09,28.290615448696926,30.573560682689873,28.290615448696926,29.320178985595703,880848,0.0,0.0
2002-09-10,29.320178985595707,29.320178985595707,29.320178985595707,29.320178985595703,0,0.0,0.0
2002-09-11,29.481320590050846,30.582507339273285,29.481320590050846,30.063247680664062,635936,0.0,0.0
2002-09-12,30.430324769256192,30.958535224185844,30.00954815322844,30.2154598236084,781968,0.0,0.0
2002-09-13,29.159038691957274,30.242316687224335,29.10532177291491,29.35599708557129,338264,0.0,0.0
2002-09-16,29.63351934619862,29.794667301140798,28.559192360837947,28.783010482788086,288592,0.0,0.0
2002-09-17,29.302289131985145,29.812595920789317,29.20381127112542,29.624588012695312,462952,0.0,0.0
2002-09-18,29.45446656426895,29.54399381826369,28.469666770326832,28.71139144897461,315432,0.0,0.0
2002-09-19,28.469667434692383,29.418656895613136,28.11155841035663,28.469667434692383,490848,0.0,0.0
2002-09-20,27.44906009668702,28.415953469391642,27.3326730124645,28.004127502441406,501072,0.0,0.0
2002-09-23,28.20107139029154,28.272692066040342,27.413233028440093,27.529617309570312,248504,0.0,0.0
2002-09-24,27.43115326246769,27.43115326246769,26.303109184730744,26.59855079650879,267912,0.0,0.0
2002-09-25,25.98081693660248,27.03723771471242,25.783855833897935,26.804466247558594,379544,0.0,0.0
2002-09-26,27.359527765832073,27.65496659386028,27.037229123884607,27.225236892700195,178136,0.0,0.0
2002-09-27,27.135713455500944,27.932505534905346,27.135713455500944,27.556489944458008,206288,0.0,0.0
2002-09-30,27.135712502299064,27.55648897647542,25.980811418143816,26.55378532409668,202232,0.0,0.0
2002-10-01,26.67912326351508,27.03723230060924,25.873377930053216,26.329967498779297,240192,0.0,0.0
2002-10-02,26.329967498779297,26.329967498779297,26.329967498779297,26.329967498779297,0,0.0,0.0
2002-10-03,26.679126183718243,28.469671565175844,26.679126183718243,27.037235260009766,673264,0.0,0.0
2002-10-04,27.395340547589676,27.47591453218099,26.589595237366453,26.867130279541016,258296,0.0,0.0
2002-10-07,27.04619317327983,27.21629446726908,26.51798274156335,26.750751495361328,110976,0.0,0.0
2002-10-08,26.831315679826954,27.735538643680663,26.67911827466,27.475910186767578,227352,0.0,0.0
2002-10-09,27.574399119510243,28.013082195434997,26.544835516022037,26.777606964111328,277040,0.0,0.0
2002-10-10,27.574401377918626,27.574401377918626,26.240445494054345,26.804466247558594,173224,0.0,0.0
2002-10-11,27.556495318851667,27.887747343238782,27.29686675679038,27.36849021911621,192536,0.0,0.0
2002-10-14,27.878790829019795,27.932507736482574,26.91189742331141,27.171525955200195,152744,0.0,0.0
2002-10-15,27.171525955200195,27.171525955200195,27.171525955200195,27.171525955200195,0,0.0,0.0
2002-10-16,30.636225616680836,30.636225616680836,27.055135666497446,27.225236892700195,247760,0.0,0.0
2002-10-17,27.395338118902945,27.395338118902945,26.876081168988275,27.225236892700195,144512,0.0,0.0
2002-10-18,27.75345794628592,28.59501386661309,27.422205903742093,27.798221588134766,512312,0.0,0.0
2002-10-21,28.451759643460534,29.17693093238432,28.111557178116,28.227941513061523,646296,0.0,0.0
2002-10-22,28.469669465701365,28.469669465701365,27.03723326616922,27.207334518432617,229384,0.0,0.0
2002-10-23,27.39535584252728,27.71765469298833,26.87609855667534,27.08201026916504,153320,0.0,0.0
2002-10-24,27.37742047352606,27.46694768597337,26.42843420730753,26.60748863220215,168744,0.0,0.0
2002-10-25,26.14195627002028,26.562735426132512,25.980808317382063,26.061382293701172,172296,0.0,0.0
2002-10-28,25.873369768836785,26.141951461938895,25.461543959649358,25.676408767700195,134504,0.0,0.0
2002-10-29,25.6048029110796,26.106156241783655,25.461558711999032,25.90024185180664,143024,0.0,0.0
2002-10-30,26.141963317499187,26.81341785476372,25.962908774228644,26.338924407958984,164320,0.0,0.0
2002-10-31,26.50007619181463,26.858185329541858,26.356831990292562,26.750751495361328,118928,0.0,0.0
2002-11-01,26.876074267653568,27.323710396480884,26.329957644053426,26.473201751708984,108792,0.0,0.0
2002-11-04,26.858166095328556,26.858166095328556,26.46424687236119,26.67015838623047,56560,0.0,0.0
